Milliseconds,Seconds,Latitude,Lat Degree,Lat Minute,Lat Second,Longitude,Long Degree,Long Minute,Long Second,Altitude,Speed,AcclX,AcclY,AcclZ,GyroX,GyroY,GyroZ,Course,Heading
106040,106,49.2423482,49,14,32.45352,-121.8899506,-121,-53,-23.82216,633.781,8.828,10.43405276,0.916067146,2.362110312,0.036208733,0.037273695,0.055378062,210.3,213.3
107030,107,49.2422877,49,14,32.23572,-121.8900425,-121,-53,-24.153,630.925,9.818,10.3764988,0.676258993,3.143884892,0.019169329,-0.12886049,-0.048988285,210.7,211.7
108037,108,49.2422221,49,14,31.99956,-121.8901514,-121,-53,-24.54504,629.579,10.232,10,-0.175059952,3.163069544,-0.007454739,-0.138445154,0.095846645,222.6,224.6
109046,109,49.2421674,49,14,31.80264,-121.8902634,-121,-53,-24.94824,628.752,10.205,9.659472422,0.705035971,2.860911271,-0.028753994,0.124600639,0.060702875,220.5,217.5
110000,110,49.242121,49,14,31.6356,-121.8903637,-121,-53,-25.30932,628.876,9.443,7.870503597,0.177458034,6.70263789,0.305644302,-0.018104366,-0.195953142,216,216
111045,111,49.2420758,49,14,31.47288,-121.890465,-121,-53,-25.674,628.262,8.29,8.918465228,-0.23501199,2.007194245,0.121405751,0.004259851,0.192758253,222.4,219.4
112035,112,49.2420368,49,14,31.33248,-121.8905498,-121,-53,-25.97928,627.582,7.549,9,0.745803357,2.26618705,0.132055378,0.001064963,-0.038338658,220.1,217.1
113042,113,49.2419958,49,14,31.18488,-121.8906377,-121,-53,-26.29572,626.464,7.557,9.616306954,0.472422062,2.016786571,-0.066027689,-0.160809372,0.051118211,210.2,211.2
114015,114,49.2419514,49,14,31.02504,-121.8907269,-121,-53,-26.61684,625.722,8.211,9.201438849,1.482014388,1.860911271,0.047923323,0.188498403,0.348242812,221.2,219.2
115041,115,49.2419061,49,14,30.86196,-121.890823,-121,-53,-26.9628,624.678,8.584,10.92326139,-0.42206235,2.865707434,-0.109691161,-0.118210863,-0.022364217,219.8,216.8
116050,116,49.2418589,49,14,30.69204,-121.8909192,-121,-53,-27.30912,624.061,8.722,10.4940048,0.786570743,2.362110312,-0.013844515,-0.01171459,0.01171459,219.8,218.8
117040,117,49.241812,49,14,30.5232,-121.8910194,-121,-53,-27.66984,624.112,9.079,12.55155875,-0.007194245,-0.896882494,0.102236422,-0.12886049,0.090521832,211.3,213.3
118047,118,49.2417626,49,14,30.34536,-121.8911264,-121,-53,-28.05504,624.862,8.876,9.309352518,0.798561151,3.016786571,0.248136315,0.301384452,-0.29286475,217.4,217.4
119020,119,49.2417277,49,14,30.21972,-121.8912035,-121,-53,-28.3326,625.947,6.759,8.357314149,0.71942446,1.942446043,-0.376996805,-0.353567625,-0.303514377,217.8,216.8
120046,120,49.2416989,49,14,30.11604,-121.8912647,-121,-53,-28.55292,625.862,5.487,8.407673861,-0.170263789,0.191846523,-0.007454739,0.057507987,-0.149094782,213,214
121000,121,49.2416708,49,14,30.01488,-121.8913138,-121,-53,-28.72968,625.47,5.218,8.244604317,0.616306954,1.335731415,0.043663472,0.195953142,0.157614483,209.3,206.3
122045,122,49.2416265,49,14,29.8554,-121.891381,-121,-53,-28.9716,623.897,6.755,9.896882494,-0.273381295,1.24940048,0.025559105,-0.263045793,0.346112886,211.8,209.8
123000,123,49.2415619,49,14,29.62284,-121.8914514,-121,-53,-29.22504,623.231,8.838,11.51558753,1.381294964,1.625899281,0.145899894,-0.102236422,0.010649627,205.5,208.5
124003,124,49.2414869,49,14,29.35284,-121.8914955,-121,-53,-29.3838,623.412,8.76,10.82014388,1.997601918,3.035971223,-0.198083067,-0.142705005,-0.422790202,205.1,203.1
125015,125,49.241422,49,14,29.1192,-121.8914788,-121,-53,-29.32368,623.498,7.492,10.5323741,0.326139089,4.889688249,0.097976571,0.235356763,-0.277955272,204.6,206.6
126005,126,49.2413706,49,14,28.93416,-121.8914332,-121,-53,-29.15952,624.173,6.801,7.354916067,-1.556354916,1.182254197,-0.034078807,0.161874334,-0.322683706,203.2,201.2
127050,127,49.2413207,49,14,28.75452,-121.8913932,-121,-53,-29.01552,624.735,5.801,9.79616307,2.381294964,0.136690647,0.063897764,0.052183174,-0.182108626,202.4,205.4
128005,128,49.241268,49,14,28.5648,-121.8913875,-121,-53,-28.995,624.23,5.802,10.56594724,2.405275779,-0.784172662,0.309904153,0.103301384,0.483493078,212.3,211.3
129008,129,49.2412017,49,14,28.32612,-121.8914023,-121,-53,-29.04828,623.226,7.199,9.191846523,0.304556355,2.558752998,0.113951012,-0.183173589,-0.156549521,207.9,210.9
